id_instancia;Optimizer;Tempos Máximos;Quantidade_de_drones;Z;Tempo Computacional;t_max_solver
1;highs;100;1;inf;0.487;100
1;highs;120;1;inf;0.52;100
1;highs;140;1;inf;0.498;100
1;highs;160;1;inf;0.549;100
1;highs;180;1;inf;0.535;100
1;highs;200;1;190.02;0.502;100
1;highs;300;1;190.02;0.564;100
1;highs;1000;1;190.02;0.55;100
1;highs;2000;1;190.02;0.534;100
1;highs;100;2;inf;1.117;100
1;highs;120;2;inf;1.066;100
1;highs;140;2;inf;1.1;100
1;highs;160;2;inf;1.05;100
1;highs;180;2;inf;1.046;100
1;highs;200;2;192.02;1.086;100
1;highs;300;2;192.02;1.162;100
1;highs;1000;2;192.02;1.219;100
1;highs;2000;2;192.02;1.166;100
1;highs;100;3;inf;1.646;100
1;highs;120;3;inf;1.601;100
1;highs;140;3;inf;1.583;100
1;highs;160;3;inf;1.615;100
1;highs;180;3;inf;1.663;100
1;highs;200;3;194.02;1.603;100
1;highs;300;3;194.02;1.735;100
1;highs;1000;3;194.02;1.717;100
1;highs;2000;3;194.02;1.729;100
1;highs;100;4;inf;2.099;100
1;highs;120;4;inf;2.102;100
1;highs;140;4;inf;2.067;100
1;highs;160;4;inf;2.184;100
1;highs;180;4;inf;2.133;100
1;highs;200;4;196.02;2.18;100
1;highs;300;4;196.02;2.259;100
1;highs;1000;4;196.02;2.326;100
1;highs;2000;4;196.02;2.285;100
1;highs;100;5;inf;2.743;100
1;highs;120;5;inf;2.73;100
1;highs;140;5;inf;2.827;100
1;highs;160;5;inf;2.728;100
1;highs;180;5;inf;2.751;100
1;highs;200;5;198.02;2.65;100
1;highs;300;5;198.02;2.898;100
1;highs;1000;5;198.02;2.979;100
1;highs;2000;5;198.02;2.931;100
2;highs;100;1;inf;2.639;100
2;highs;120;1;inf;2.635;100
2;highs;140;1;inf;2.682;100
2;highs;160;1;inf;11.365;100
2;highs;180;1;inf;15.175;100
2;highs;200;1;190.02;4.975;100
2;highs;300;1;190.02;5.465;100
2;highs;1000;1;190.02;5.747;100
2;highs;2000;1;190.02;6.489;100
2;highs;100;2;inf;18.052;100
2;highs;120;2;inf;30.803;100
2;highs;140;2;inf;32.544;100
2;highs;160;2;inf;27.034;100
2;highs;180;2;inf;21.449;100
2;highs;200;2;192.02;12.929;100
2;highs;300;2;192.02;12.865;100
2;highs;1000;2;192.02;13.758;100
2;highs;2000;2;192.02;12.742;100
2;highs;100;3;inf;30.192;100
2;highs;120;3;inf;27.465;100
2;highs;140;3;inf;59.738;100
2;highs;160;3;inf;30.098;100
2;highs;180;3;inf;28.987;100
2;highs;200;3;194.02;16.285;100
2;highs;300;3;194.02;22.012;100
2;highs;1000;3;194.02;21.642;100
2;highs;2000;3;194.02;27.226;100
2;highs;100;4;inf;28.899;100
2;highs;120;4;inf;53.182;100
2;highs;140;4;inf;110.296;100
2;highs;160;4;inf;41.118;100
2;highs;180;4;inf;41.883;100
2;highs;200;4;196.02;20.53;100
2;highs;300;4;196.02;26.236;100
2;highs;1000;4;196.02;48.602;100
2;highs;2000;4;196.02;51.996;100
2;highs;100;5;inf;78.198;100
2;highs;120;5;inf;119.566;100
2;highs;140;5;inf;132.016;100
